rank;army;n_units;n_heroes;avg_roi_pct;avg_pts_net;median_roi_pct;pct_positive;min_roi_pct;max_roi_pct
1;Sons of Behemat;9;7;21.43;81.58;18.89;100.0;9.58;40.2
2;Ironjawz;19;8;15.76;31.06;23.11;78.9;-32.56;61.74
3;Kharadron Overlords;22;10;13.66;20.72;12.17;72.7;-38.91;108.62
4;Kruleboyz;20;12;12.51;22.2;24.06;70.0;-50.96;57.77
5;Stormcast Eternals;86;44;11.65;23.64;13.66;62.8;-56.63;89.16
6;Ogor Mawtribes;29;14;10.88;24.88;14.39;72.4;-38.93;47.24
7;Seraphon;35;15;10.48;19.77;13.33;68.6;-61.24;60.35
8;Helsmiths of Hashut;19;6;10.18;16.23;14.22;68.4;-43.84;49.36
9;Fyreslayers;20;13;9.28;16.18;2.63;50.0;-54.26;72.05
10;Maggotkin of Nurgle;37;24;8.6;23.99;15.24;64.9;-49.28;60.81
11;Blades of Khorne;39;23;8.41;19.83;11.78;66.7;-61.92;67.34
12;Hedonites of Slaanesh;34;18;7.59;15.7;12.73;64.7;-39.12;52.43
13;Gloomspite Gitz;49;20;7.56;14.3;12.45;67.3;-62.83;67.31
14;Sylvaneth;26;11;6.84;19.09;15.07;73.1;-52.25;56.33
15;Slaves to Darkness;56;23;6.46;12.74;8.95;66.1;-57.87;73.32
16;Skaven;49;22;4.24;15.41;9.08;59.2;-65.76;60.78
17;Soulblight Gravelords;50;29;4.12;12.19;6.08;64.0;-62.71;65.64
18;Nighthaunt;32;16;0.13;3.43;1.09;53.1;-57.25;38.66
19;Bonesplitterz;12;5;-0.15;5.88;6.56;58.3;-58.75;56.2
20;Ossiarch Bonereapers;28;13;-1.18;3.75;4.69;57.1;-79.36;52.29
21;Beasts of Chaos;22;4;-1.81;3.8;5.81;59.1;-65.8;41.36
22;Idoneth Deepkin;22;13;-3.72;2.18;-4.29;50.0;-57.04;67.61
23;Lumineth Realm-lords;28;17;-4.48;-1.72;0.07;50.0;-68.8;51.34
24;Flesh-eater Courts;29;17;-4.7;5.34;-4.44;48.3;-64.01;54.09
25;Cities of Sigmar;64;30;-4.81;-2.95;0.83;51.6;-75.12;44.87
26;Daughters of Khaine;27;13;-6.17;-16.02;-13.65;44.4;-48.79;57.7
27;Disciples of Tzeentch;33;17;-12.76;-17.82;-15.97;30.3;-61.48;52.71
