rank;army;n_units;n_heroes;avg_roi_pct;avg_pts_net;median_roi_pct;pct_positive;min_roi_pct;max_roi_pct
1;Sons of Behemat;9;7;15.98;66.97;16.36;100.0;8.97;25.52
2;Kharadron Overlords;22;10;7.63;13.22;7.71;68.2;-42.01;91.49
3;Ironjawz;19;8;7.37;18.81;16.25;73.7;-37.63;50.26
4;Ogor Mawtribes;29;14;3.65;14.02;9.52;69.0;-49.33;40.08
5;Stormcast Eternals;86;44;3.1;10.85;8.13;58.1;-64.61;56.18
6;Kruleboyz;20;12;2.39;8.41;15.77;65.0;-58.43;39.84
7;Seraphon;35;15;1.41;7.77;6.21;57.1;-67.33;42.01
8;Helsmiths of Hashut;19;6;-0.18;4.3;6.15;57.9;-49.94;24.24
9;Maggotkin of Nurgle;37;24;-0.33;10.79;8.3;59.5;-55.98;37.48
10;Blades of Khorne;39;23;-0.95;6.7;1.78;56.4;-65.01;48.57
11;Sylvaneth;26;11;-1.04;6.57;9.73;65.4;-59.54;33.45
12;Hedonites of Slaanesh;34;18;-1.43;3.01;3.94;58.8;-44.31;32.61
13;Skaven;49;22;-2.31;5.95;-0.59;49.0;-70.69;41.98
14;Fyreslayers;20;13;-3.27;0.53;-8.61;45.0;-59.66;46.51
15;Gloomspite Gitz;49;20;-3.71;0.38;4.29;59.2;-69.61;46.66
16;Slaves to Darkness;56;23;-4.46;-1.56;-0.98;44.6;-61.18;39.54
17;Soulblight Gravelords;50;29;-4.66;-0.99;-4.27;48.0;-67.27;44.35
18;Bonesplitterz;12;5;-9.2;-6.74;-1.51;50.0;-64.27;46.52
19;Nighthaunt;32;16;-9.23;-10.1;-8.28;43.8;-59.94;32.33
20;Ossiarch Bonereapers;28;13;-9.75;-8.99;2.69;57.1;-83.42;25.83
21;Beasts of Chaos;22;4;-11.44;-9.14;-6.02;45.5;-69.74;28.71
22;Lumineth Realm-lords;28;17;-11.89;-13.77;-5.22;42.9;-73.01;26.17
23;Flesh-eater Courts;29;17;-12.65;-5.7;-14.46;44.8;-68.25;35.76
24;Daughters of Khaine;27;13;-12.97;-25.64;-13.65;40.7;-52.23;36.61
25;Idoneth Deepkin;22;13;-13.04;-9.08;-14.42;40.9;-59.76;32.21
26;Cities of Sigmar;64;30;-13.21;-14.66;-11.34;35.9;-80.72;30.7
27;Disciples of Tzeentch;33;17;-21.37;-29.66;-21.34;21.2;-66.01;38.6
